index,X_position,X_speed,Y_position,Y_speed,Z_position,Z_speed,A_position,A_speed,B_position,B_speed,C_position,C_speed,image,delay
71,71318,1200,98986,1200,12481,1200,4000,555,9894,550,0,0,1,30
72,71318,1200,98986,1200,12981,1200,4000,555,9894,550,0,0,1,4
73,78762,1200,96364,1200,12814,1200,3000,555,9894,550,0,0,1,30
74,78762,1200,96364,1200,13314,1200,3000,555,9894,550,0,0,1,4
75,84928,1200,92564,1200,12814,1200,2000,555,9894,550,0,0,1,30
76,84928,1200,92564,1200,13314,1200,2000,555,9894,550,0,0,1,4
77,90926,1200,87675,1200,12814,1200,1000,555,9894,550,0,0,1,30
78,90926,1200,87675,1200,13314,1200,1000,555,9894,550,0,0,1,4
79,95592,1200,83008,1200,12814,1200,0,555,9894,550,0,0,1,30
80,95592,1200,83008,1200,13314,1200,0,555,9894,550,0,0,1,4
